database_size,elements_size,degree,query_size,query_construction_time,response_time,response_size
10000,40000,16384,215092,6643661,4405020969,204834
10000,45000,32768,430132,9623933,9582050490,409634
10000,50000,32768,430132,10311811,9387576297,409634
10000,55000,32768,430132,10581874,9288678381,409634
10000,60000,32768,430132,9571956,9299887855,409634
10000,65000,32768,430132,10108836,12517862810,409634
15000,30000,16384,215092,6444813,6846927875,204834
15000,35000,16384,215092,5229418,6682421719,204834
15000,40000,16384,215092,4203904,6459620553,204834
15000,45000,32768,430132,12313106,20779710698,409634
15000,50000,32768,430132,17535586,13062434585,409634
15000,55000,32768,430132,16073224,12164652146,409634
20000,20000,16384,215092,5143094,4415259243,204834
20000,25000,16384,215092,4941074,7697618714,204834
20000,30000,16384,215092,4546658,7714673612,204834
20000,35000,16384,215092,4534801,7852495369,204834
20000,40000,16384,215092,5122706,11478699759,204834
20000,45000,32768,430132,27667374,26983475812,409634
